gene_symb,GF_mean,GF_std,SCFA_mean,SCFA_std,log2FC,is_GF_all_zero,is_SCFA_all_zero,gene_type,pvalue,padj,reject_null
Sec31a,1.796,1.560081088,17.90633333,4.628617972,2.75743333,FALSE,FALSE,high_in_SCFA,0.02,0.02,TRUE
Pon3,0,0,54.64266667,8.702084942,5.798119657,TRUE,FALSE,SCFA_specific_high,0.0001,0,TRUE
Abca7,0,0,574.449,117.0090602,9.168544263,TRUE,FALSE,high_in_GF,0.0001,0,TRUE
Zfp426,0,0,60.209,11.41045867,5.935671893,TRUE,FALSE,SCFA_specific_high,0.0001,0,TRUE
Ngf,0,0,4.299666667,0.608605236,2.405901621,TRUE,FALSE,SCFA_specific_low,0.01,0.01,TRUE
Pex1,23.90333333,26.9697493,150.3333333,19.85782801,2.60331903,FALSE,FALSE,GF_specific_high,0,0,TRUE
Phf1,15.565,3.182856422,52.42766667,10.03850533,1.689448809,FALSE,FALSE,high_in_SCFA,0.02,0.02,TRUE
Itfg2,0,0,3.345333333,0.590857287,2.119466851,TRUE,FALSE,SCFA_specific_low,0.01,0.01,TRUE
Nrf1,0,0,4.972,1.523202876,2.578214165,TRUE,FALSE,SCFA_specific_low,0.01,0.01,TRUE
Rxrb,0,0,151.0983333,53.2656641,7.248860534,TRUE,FALSE,GF_specific_high,0.0001,0,TRUE
Spata25,1.333333333,0.577350269,6.666666667,1.527525232,1.716207034,FALSE,FALSE,high_in_SCFA,0.02,0.02,TRUE
Cnot1,2.626666667,0.413246093,11.97933333,0.755881163,1.839500227,FALSE,FALSE,high_in_SCFA,0,0,TRUE
Ccdc74a,0,0,1.285,0.131742172,1.192194165,TRUE,FALSE,SCFA_specific_low,0.01,0.01,TRUE
Top3a,0,0,8.156666667,1.401647007,3.194822505,TRUE,FALSE,SCFA_specific_medium,0.001,0,TRUE
Arih2,0,0,4.15,1.382524141,2.364572432,TRUE,FALSE,SCFA_specific_low,0.01,0.01,TRUE
Rnaseh2a,0,0,2.43,0.765190826,1.778208576,TRUE,FALSE,SCFA_specific_low,0.01,0.01,TRUE
Arl4d,361.3216667,82.77679919,914.9213333,27.71593919,1.337952613,FALSE,FALSE,high_in_SCFA,0,0,TRUE
Mrpl58,0,0,18.46366667,4.341981153,4.282711613,TRUE,FALSE,SCFA_specific_medium,0.001,0,TRUE
Abhd4,0,0,141.4046667,33.31316041,7.153852615,TRUE,FALSE,SCFA_specific_high,0.0001,0,TRUE
Rabl2,0,0,12.50266667,3.048112585,3.755172451,TRUE,FALSE,SCFA_specific_medium,0.001,0,TRUE
Rbm27,63.97333333,27.18835003,0,0,-6.021775817,FALSE,TRUE,GF_specific_high,0.0001,0,TRUE
Chtf18,7.858,3.011679432,0.984,1.704337995,-2.158568971,FALSE,FALSE,high_in_GF,0.04,0.04,TRUE
Kdelr1,173.2386667,53.62321919,25.526,44.21232891,-2.715585774,FALSE,FALSE,high_in_GF,0.02,0.02,TRUE
Nr2f1,20.657,9.115989963,0,0,-4.436761505,FALSE,TRUE,GF_specific_high,0.0001,0,TRUE
Bank1,5.713333333,3.862899084,0,0,-2.747029278,FALSE,TRUE,GF_specific_medium,0.001,0,TRUE
Meis2,12.58166667,4.57241231,0,0,-3.763588625,FALSE,TRUE,SCFA_specific_high,0.001,0,TRUE
1700088E04Rik,2.792,0.361065091,0.816,0.711770328,-1.062194762,FALSE,FALSE,high_in_GF,0.02,0.02,TRUE
Llph,16.363,6.879889243,0,0,-4.117944335,FALSE,TRUE,GF_specific_medium,0.001,0,TRUE
Ash2l,9.673,4.178441935,0,0,-3.415893845,FALSE,TRUE,GF_specific_medium,0.001,0,TRUE
Stk4,16.78066667,4.757535531,4.312,3.749929599,-1.742982366,FALSE,FALSE,high_in_GF,0.03,0.03,TRUE
Ciita,14.76233333,11.4650537,0,0,-3.978409211,FALSE,TRUE,GF_specific_medium,0.001,0,TRUE
Lepr,39.783,30.55237608,0,0,-5.349895999,FALSE,TRUE,GF_specific_medium,0.001,0,TRUE
Rnf7,2.903666667,1.513503331,0,0,-1.964829867,FALSE,TRUE,GF_specific_low,0.01,0.01,TRUE
Sec24a,36.02,28.7788325,0,0,-5.21023299,FALSE,TRUE,GF_specific_medium,0.001,0,TRUE
Cyp4f40,5,2.645751311,0,0,-2.584962501,FALSE,TRUE,GF_specific_low,0.01,0.01,TRUE
Sec24c,146.6256667,38.17838075,38.54366667,34.41988795,-1.900425019,FALSE,FALSE,high_in_GF,0.02,0.02,TRUE
Mrps17,6.075666667,1.460855001,1.651,1.711400304,-1.416329414,FALSE,FALSE,high_in_GF,0.03,0.03,TRUE
Plekha4,3.078,1.730975159,0,0,-2.027861775,FALSE,TRUE,GF_specific_low,0.01,0.01,TRUE
Cfap77,9.881666667,8.344511629,0,0,-3.443827636,FALSE,TRUE,GF_specific_medium,0.001,0,TRUE
Psmd4,291.6273333,35.08668737,142.01,57.22634959,-1.032948502,FALSE,FALSE,high_in_GF,0.03,0.03,TRUE
Mcrip2,3.62,3.127493086,0,0,-2.207892852,FALSE,TRUE,GF_specific_low,0.01,0.01,TRUE
Bcl11b,3,1.732050808,0,0,-2,FALSE,TRUE,GF_specific_low,0.01,0.01,TRUE
Il12rb1,4.666666667,2.081665999,0.333333333,0.577350269,-2.087462841,FALSE,FALSE,GF_specific_low,0.01,0.01,TRUE
Sncaip,44.58566667,13.82836926,15.58733333,6.718927469,-1.458498305,FALSE,FALSE,non_specific,0.05,0.05,FALSE
Slc5a12,5.097666667,3.633265244,0,0,-2.608257287,FALSE,TRUE,GF_specific_medium,0.001,0,TRUE
Duox2,6.647,4.046458575,0.333333333,0.577350269,-2.519856375,FALSE,FALSE,GF_specific_medium,0.001,0,TRUE
Pbx2,133.258,45.94754854,20.24433333,35.0642139,-2.65985808,FALSE,FALSE,high_in_GF,0.03,0.03,TRUE
Ttc33,3.068333333,2.522787413,0,0,-2.024437889,FALSE,TRUE,GF_specific_low,0.01,0.01,TRUE
